ad_account_id,game_id,channel_id,source_id,budget_mode,create_time,optimization_goal,time_series,bid_strategy,bid_amount,daily_budget,expand_enabled,expand_targeting,device_price,app_install_status,gender,game_consumption_level,age,network_type,deep_conversion_type,deep_conversion_behavior_spec,deep_conversion_worth_spec,intention_targeting_tags,interest_category_id_list,interest_keyword_list,behavior_category_id_list,behavior_intensity,behavior_keyword_list,behavior_scene,behavior_time_window,conversion_behavior_list,excluded_dimension,location_types,regions,image_id,deep_link_url,adcreative_template_id,page_spec,page_type,site_set,label,promoted_object_id,promoted_object_type,automatic_site_enabled,link_name_type,link_page_type,profile_id,link_page_spec,adcreative_elements,label_ids,tdate,amount,new_role_money,roi,pay_rate
6455,1001446,21329,1107435,0,2021-10-22 18:32:32,OPTIMIZATIONGOAL_APP_ACTIVATE,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111100000000011111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BID_STRATEGY_AVERAGE_COST,18230,0,False,[],,['NOT_INSTALLED'],['MALE'],,"[{'min': 14, 'max': 66}]",,DEEP_CONVERSION_WORTH,,"{'goal': 'GOAL_1DAY_PURCHASE_ROAS', 'expected_roi': 0.015}",[205],"[157, 205]",,"[33, 205]",['BEHAVIOR_INTEREST_INTENSITY_ALL'],,['BEHAVIOR_INTEREST_SCENE_ALL'],BEHAVIOR_INTEREST_TIME_WINDOW_SEVEN_DAY,['OPTIMIZATIONGOAL_APP_DOWNLOAD'],EXCLUDED_DIMENSION_APP,,,38823,,721,,PAGE_TYPE_DEFAULT,,[],1573087927,PROMOTED_OBJECT_TYPE_APP_IOS,True,,,,,"{'image': 114677, 'description': '智商149卡在了39关，这款游戏太烧脑，你能过几关？', 'video': 114677, 'button_text': '下载游戏', 'title': '休闲好玩又刺激', 'brand': {'brand_name': '幸存挑战', 'brand_img': 112395}}",20,2021-11-06,1545.79,24.0,0.015526,0.1111
6455,1001447,21329,1121880,0,2021-10-29 23:21:17,OPTIMIZATIONGOAL_APP_ACTIVATE,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BID_STRATEGY_AVERAGE_COST,18970,0,False,[],,['NOT_INSTALLED'],['MALE'],,"[{'min': 23, 'max': 66}]",,DEEP_CONVERSION_WORTH,,"{'goal': 'GOAL_1DAY_PURCHASE_ROAS', 'expected_roi': 0.015}",,,,,,,,,['OPTIMIZATIONGOAL_APP_DOWNLOAD'],EXCLUDED_DIMENSION_APP,,,38823,,720,,PAGE_TYPE_DEFAULT,,[],1552323463,PROMOTED_OBJECT_TYPE_APP_IOS,True,,,,,"{'image': 114674, 'description': '超魔性策略手游，末日主题关卡！困兽之斗', 'video': 114674, 'button_text': '下载游戏', 'title': '休闲好玩又刺激', 'brand': {'brand_name': 'N1计划', 'brand_img': 78613}}",20,2021-11-02,5387.58,68.0,0.012622,0.0476
6473,1001447,21246,1125005,0,2021-11-01 14:24:32,OPTIMIZATIONGOAL_APP_ACTIVATE,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111000000001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BID_STRATEGY_AVERAGE_COST,16283,0,True,['age'],"['PRICE_2500_3500', 'PRICE_3500_4500', 'PRICE_4500_MORE']",['NOT_INSTALLED'],,,"[{'min': 24, 'max': 66}]",,DEEP_CONVERSION_WORTH,,"{'goal': 'GOAL_1DAY_PURCHASE_ROAS', 'expected_roi': 0.02}",[205],"[301, 205, 16]",,"[51, 85, 102, 809, 524, 812, 813, 817, 818, 827, 301, 38, 631, 632, 164]",['BEHAVIOR_INTEREST_INTENSITY_ALL'],"['乘坐飞机', '保时捷', '凯迪拉克', '别墅', '大型飞机', '奔驰', '奥迪', '奥迪a6l', '奥迪q5', '宝马', '宝马汽车', '富豪', '度假', '无人飞机', '沃尔沃', '法拉利', '温泉', '港口', '特斯拉', '碧桂园', '豪华汽车', '豪华跑车', '豪车', '跑车', '车辆出口', '迈巴赫', '运输船', '远洋捕捞', '雷克萨斯', '飞行', '驾驶飞机']",['BEHAVIOR_INTEREST_SCENE_ALL'],BEHAVIOR_INTEREST_TIME_WINDOW_SEVEN_DAY,['OPTIMIZATIONGOAL_APP_ACTIVATE'],EXCLUDED_DIMENSION_APP,,,35305,,720,,PAGE_TYPE_DEFAULT,"['SITE_SET_QQ_MUSIC_GAME', 'SITE_SET_KANDIAN', 'SITE_SET_TENCENT_NEWS', 'SITE_SET_TENCENT_VIDEO', 'SITE_SET_MOBILE_UNION']","['末日', '末世', '丧尸', '幸存', '美女', '长腿', '小姨子', '女忧', '豪车', '科技', '5G', '科普', '历史', '玄幻', '翻修', '游戏', '手游', '生化', '美胸', 'SM']",1552323463,PROMOTED_OBJECT_TYPE_APP_IOS,False,,,,,"{'image': 99150, 'description': '智商149卡在了39关，这款游戏太烧脑，你能过几关？', 'video': 99150, 'button_text': '下载游戏', 'title': '首充抽到SSR，老板求着我带她', 'brand': {'brand_name': 'n1计划', 'brand_img': 78613}}",20,2021-11-02,1658.46,208.0,0.125418,0.1429
6474,1001617,21246,1135750,0,2021-11-05 14:55:12,OPTIMIZATIONGOAL_FIRST_PURCHASE,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111000000001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BID_STRATEGY_AVERAGE_COST,394085,0,False,[],"['PRICE_2500_3500', 'PRICE_3500_4500', 'PRICE_4500_MORE']",['NOT_INSTALLED'],,,"[{'min': 26, 'max': 66}]",,,,,[205],"[301, 205, 16]",,"[14, 51, 85, 102, 809, 817, 818, 827, 301, 38, 631, 632]",['BEHAVIOR_INTEREST_INTENSITY_ALL'],"['乘坐飞机', '保时捷', '养车', '凯迪拉克', '别墅', '大型飞机', '奔驰', '奥迪', '奥迪a6l', '奥迪q5', '宝马', '宝马汽车', '富豪', '度假', '散装货船', '无人飞机', '沃尔沃', '法拉利', '洗车', '温泉', '港口', '特斯拉', '碧桂园', '航空客机', '航空飞行器', '豪华汽车', '豪华跑车', '豪宅', '豪车', '跑车', '车辆出口', '迈巴赫', '运输船', '远洋捕捞', '雷克萨斯', '飞机飞行', '飞行器']",['BEHAVIOR_INTEREST_SCENE_ALL'],BEHAVIOR_INTEREST_TIME_WINDOW_SEVEN_DAY,['OPTIMIZATIONGOAL_APP_ACTIVATE'],EXCLUDED_DIMENSION_APP,,,38163,,929,"{'override_canvas_head_option': 'OPTION_CREATIVE_OVERRIDE_CANVAS', 'page_id': 2294225668}",PAGE_TYPE_CANVAS_WECHAT,['SITE_SET_WECHAT'],,1570594902,PROMOTED_OBJECT_TYPE_APP_IOS,False,DOWNLOAD_NOW,,,,"{'end_page': {'end_page_desc': '打造专属避难所！', 'end_page_type': 'END_PAGE_AVATAR_NICKNAME_HIGHLIGHT'}, 'corporate': {'corporate_img': 102585, 'corporate_name': '明日战纪'}, 'description': '没WiFi也能玩一天，试试你能过几关', 'caption': '生存靠本事，解谜考智商！', 'left_bottom_txt': '移动机关，灭杀怪物，逃出升天！', 'video': 111534, 'title': '末日小游戏，休闲又过瘾'}",20,2021-11-07,4771.86,170.0,0.035626,0.069
6489,1001447,20143,1133042,0,2021-11-04 15:45:12,OPTIMIZATIONGOAL_APP_ACTIVATE,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111000000011111111111111111111111111111111111111111000000011111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BID_STRATEGY_AVERAGE_COST,15824,0,True,[],"['PRICE_4500_MORE', 'PRICE_3500_4500', 'PRICE_2500_3500']",['NOT_INSTALLED'],['MALE'],,"[{'min': 24, 'max': 50}]",,DEEP_CONVERSION_WORTH,,"{'goal': 'GOAL_1DAY_PURCHASE_ROAS', 'expected_roi': 0.008}",[205],"[157, 26, 74, 79, 178, 153, 631, 632]",,"[38, 220, 162, 226]",['BEHAVIOR_INTEREST_INTENSITY_HIGH'],,['BEHAVIOR_INTEREST_SCENE_ALL'],BEHAVIOR_INTEREST_TIME_WINDOW_THIRTY_DAY,['OPTIMIZATIONGOAL_APP_ACTIVATE'],EXCLUDED_DIMENSION_APP,,,40187,,1480,"{'override_canvas_head_option': 'OPTION_CREATIVE_OVERRIDE_CANVAS', 'page_id': 2285135713}",PAGE_TYPE_CANVAS_WECHAT,['SITE_SET_MOMENTS'],,1552323463,PROMOTED_OBJECT_TYPE_APP_IOS,False,DOWNLOAD_APP,LINK_PAGE_TYPE_DEFAULT,557022,,"{'short_video_struct': {'short_video1': 120931}, 'title': '闯关+逃生，没WiFi也能玩一天，试试你能过几关？', 'brand': {'brand_name': 'N1计划', 'brand_img': 112395}}",20,2021-11-05,1533.33,12.0,0.007826,0.1667
6489,1001447,20143,1133039,0,2021-11-04 15:45:12,OPTIMIZATIONGOAL_APP_ACTIVATE,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111000000011111111111111111111111111111111111111111000000011111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BID_STRATEGY_AVERAGE_COST,13959,0,True,[],"['PRICE_4500_MORE', 'PRICE_3500_4500', 'PRICE_2500_3500']",['NOT_INSTALLED'],['MALE'],,"[{'min': 24, 'max': 50}]",,DEEP_CONVERSION_WORTH,,"{'goal': 'GOAL_1DAY_PURCHASE_ROAS', 'expected_roi': 0.008}",[205],"[157, 26, 74, 79, 178, 153, 631, 632]",,"[38, 220, 162, 226]",['BEHAVIOR_INTEREST_INTENSITY_HIGH'],,['BEHAVIOR_INTEREST_SCENE_ALL'],BEHAVIOR_INTEREST_TIME_WINDOW_THIRTY_DAY,['OPTIMIZATIONGOAL_APP_ACTIVATE'],EXCLUDED_DIMENSION_APP,,,40056,,1480,"{'override_canvas_head_option': 'OPTION_CREATIVE_OVERRIDE_CANVAS', 'page_id': 2285135713}",PAGE_TYPE_CANVAS_WECHAT,['SITE_SET_MOMENTS'],,1552323463,PROMOTED_OBJECT_TYPE_APP_IOS,False,DOWNLOAD_APP,LINK_PAGE_TYPE_DEFAULT,557022,,"{'short_video_struct': {'short_video1': 120275}, 'title': '闯关+逃生，没WiFi也能玩一天，试试你能过几关？', 'brand': {'brand_name': 'N1计划', 'brand_img': 112395}}",20,2021-11-04,1342.02,128.0,0.095379,0.3333
6489,1001446,20143,1134567,0,2021-11-05 10:35:32,OPTIMIZATIONGOAL_APP_ACTIVATE,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110000000011111111111111111111111111111111111111110000000011111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BID_STRATEGY_AVERAGE_COST,468565,0,True,['age'],,,['MALE'],,"[{'min': 24, 'max': 50}]",,DEEP_CONVERSION_WORTH,,"{'goal': 'GOAL_1DAY_PURCHASE_ROAS', 'expected_roi': 0.015}",[205],"[85, 102, 38, 162, 226, 893]","['豪华跑车', '迈巴赫', '保时捷', '跑车', '法拉利', '豪车', '特斯拉', '汽车资讯', '趣头条', '豪华汽车', '奔驰', '奥迪', '宝马', '沃尔沃', '凯迪拉克', '雷克萨斯', '奥迪a6l', '宝马汽车', '奥迪q5', '车型']","[85, 102, 38, 162, 226]",['BEHAVIOR_INTEREST_INTENSITY_ALL'],"['豪华跑车', '迈巴赫', '保时捷', '跑车', '法拉利', '豪车', '特斯拉', '汽车资讯', '趣头条', '豪华汽车', '奔驰', '奥迪', '宝马', '沃尔沃', '凯迪拉克', '雷克萨斯', '奥迪a6l', '宝马汽车', '奥迪q5', '车型']",['BEHAVIOR_INTEREST_SCENE_ALL'],BEHAVIOR_INTEREST_TIME_WINDOW_THIRTY_DAY,,,,,40335,,721,"{'override_canvas_head_option': 'OPTION_CREATIVE_OVERRIDE_CANVAS', 'page_id': 2249893528}",PAGE_TYPE_CANVAS_WECHAT,['SITE_SET_MOMENTS'],,1573087927,PROMOTED_OBJECT_TYPE_APP_IOS,False,DOWNLOAD_APP,LINK_PAGE_TYPE_DEFAULT,510805,,"{'video': 121789, 'title': '朋友被等我带入坑，玩得比我还猛！', 'brand': {'brand_name': '幸存挑战', 'brand_img': 102585}}",20,2021-11-05,556.04,30.0,0.053953,0.2
6549,1001447,21329,1127590,1,2021-11-02 14:32:12,OPTIMIZATIONGOAL_FIRST_PURCHASE,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111100000000011111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BID_STRATEGY_AVERAGE_COST,450811,840000,False,[],,['NOT_INSTALLED'],['MALE'],,"[{'min': 23, 'max': 66}]",,,,,[205],"[157, 205]",,"[157, 301, 205]",['BEHAVIOR_INTEREST_INTENSITY_ALL'],,['BEHAVIOR_INTEREST_SCENE_ALL'],BEHAVIOR_INTEREST_TIME_WINDOW_SEVEN_DAY,['OPTIMIZATIONGOAL_APP_DOWNLOAD'],EXCLUDED_DIMENSION_APP,,,36075,,1480,"{'override_canvas_head_option': 'OPTION_CREATIVE_OVERRIDE_CANVAS', 'page_id': 2288875977}",PAGE_TYPE_CANVAS_WECHAT,['SITE_SET_MOMENTS'],,1552323463,PROMOTED_OBJECT_TYPE_APP_IOS,False,DOWNLOAD_GAME,LINK_PAGE_TYPE_DEFAULT,605887,,"{'short_video_struct': {'short_video1': 101975}, 'title': '闯关+逃生，没WiFi也能玩一天！', 'brand': {'brand_name': 'N1计划', 'brand_img': 78613}}",20,2021-11-04,5850.28,110.0,0.018803,0.0194
6549,1001447,21329,1127602,0,2021-11-02 14:32:12,OPTIMIZATIONGOAL_FIRST_PURCHASE,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111100000000011111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BID_STRATEGY_AVERAGE_COST,449741,0,False,[],,['NOT_INSTALLED'],['MALE'],,"[{'min': 23, 'max': 66}]",,,,,[205],"[157, 205]",,"[157, 301, 205]",['BEHAVIOR_INTEREST_INTENSITY_ALL'],,['BEHAVIOR_INTEREST_SCENE_ALL'],BEHAVIOR_INTEREST_TIME_WINDOW_SEVEN_DAY,['OPTIMIZATIONGOAL_APP_DOWNLOAD'],EXCLUDED_DIMENSION_APP,,,39907,,1480,"{'override_canvas_head_option': 'OPTION_CREATIVE_OVERRIDE_CANVAS', 'page_id': 2288875977}",PAGE_TYPE_CANVAS_WECHAT,['SITE_SET_MOMENTS'],,1552323463,PROMOTED_OBJECT_TYPE_APP_IOS,False,DOWNLOAD_GAME,LINK_PAGE_TYPE_DEFAULT,605887,,"{'short_video_struct': {'short_video1': 119484}, 'title': '嫂子连上厕所都在玩的游戏，没想到原来这么好玩！', 'brand': {'brand_name': 'N1计划', 'brand_img': 78613}}","207,208",2021-11-02,8464.27,110.0,0.012996,0.0072
6549,1001447,21329,1129115,1,2021-11-02 19:40:13,OPTIMIZATIONGOAL_APP_ACTIVATE,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111100000000011111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BID_STRATEGY_AVERAGE_COST,14804,700000,False,[],,['NOT_INSTALLED'],['MALE'],,"[{'min': 23, 'max': 66}]",,DEEP_CONVERSION_WORTH,,"{'goal': 'GOAL_1DAY_PURCHASE_ROAS', 'expected_roi': 0.015}",[205],"[157, 205]",,"[157, 301, 205]",['BEHAVIOR_INTEREST_INTENSITY_ALL'],,['BEHAVIOR_INTEREST_SCENE_ALL'],BEHAVIOR_INTEREST_TIME_WINDOW_SEVEN_DAY,['OPTIMIZATIONGOAL_APP_DOWNLOAD'],EXCLUDED_DIMENSION_APP,,,36075,,1480,"{'override_canvas_head_option': 'OPTION_CREATIVE_OVERRIDE_CANVAS', 'page_id': 2288875977}",PAGE_TYPE_CANVAS_WECHAT,['SITE_SET_MOMENTS'],,1552323463,PROMOTED_OBJECT_TYPE_APP_IOS,False,DOWNLOAD_GAME,LINK_PAGE_TYPE_DEFAULT,605887,,"{'short_video_struct': {'short_video1': 101975}, 'title': '只用一根手指，没有wifi也能玩一天！', 'brand': {'brand_name': 'N1计划', 'brand_img': 78613}}",20,2021-11-03,4029.85,110.0,0.027296,0.0833
6688,1001447,21329,1113791,0,2021-10-26 16:17:12,OPTIMIZATIONGOAL_FIRST_PURCHASE,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111000000000000011111111111111111111111111111111111111111111111111111111111111111111111111111111111,BID_STRATEGY_AVERAGE_COST,444994,0,False,[],,['NOT_INSTALLED'],,,"[{'min': 23, 'max': 52}]",,,,,[205],"[157, 205]",,"[157, 205]",['BEHAVIOR_INTEREST_INTENSITY_ALL'],,['BEHAVIOR_INTEREST_SCENE_ALL'],BEHAVIOR_INTEREST_TIME_WINDOW_SEVEN_DAY,['OPTIMIZATIONGOAL_APP_DOWNLOAD'],EXCLUDED_DIMENSION_APP,,,38100,,720,,PAGE_TYPE_DEFAULT,"['SITE_SET_QQ_MUSIC_GAME', 'SITE_SET_KANDIAN', 'SITE_SET_TENCENT_NEWS', 'SITE_SET_TENCENT_VIDEO', 'SITE_SET_MOBILE_UNION']",[],1552323463,PROMOTED_OBJECT_TYPE_APP_IOS,False,,,,,"{'image': 111225, 'description': '智商149卡在了39关，这款游戏太烧脑，你能过几关？', 'video': 111225, 'button_text': '下载游戏', 'title': '休闲好玩又刺激', 'brand': {'brand_name': 'N1计划', 'brand_img': 78613}}",20,2021-10-31,4572.86,30.0,0.00656,0.0189
6688,1001447,21329,1121906,0,2021-10-29 23:54:11,OPTIMIZATIONGOAL_FIRST_PURCHASE,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111100000000011111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BID_STRATEGY_AVERAGE_COST,469099,0,False,[],,['NOT_INSTALLED'],,"['HIGH', 'NORMAL']","[{'min': 23, 'max': 66}]",,,,,,,,,,,,,['OPTIMIZATIONGOAL_APP_DOWNLOAD'],EXCLUDED_DIMENSION_APP,,,39302,,720,,PAGE_TYPE_DEFAULT,"['SITE_SET_QQ_MUSIC_GAME', 'SITE_SET_KANDIAN', 'SITE_SET_TENCENT_NEWS', 'SITE_SET_TENCENT_VIDEO', 'SITE_SET_MOBILE_UNION']",[],1552323463,PROMOTED_OBJECT_TYPE_APP_IOS,False,,,,,"{'image': 116859, 'description': '超魔性策略手游，试试你能闯几关', 'video': 116859, 'button_text': '下载游戏', 'title': '休闲好玩又刺激', 'brand': {'brand_name': 'N1计划', 'brand_img': 78613}}",20,2021-11-02,333.35,110.0,0.329984,0.3333
6688,1001447,21329,1136900,0,2021-11-05 19:46:31,OPTIMIZATIONGOAL_FIRST_PURCHASE,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BID_STRATEGY_AVERAGE_COST,495511,0,False,[],,['NOT_INSTALLED'],,"['HIGH', 'NORMAL']","[{'min': 24, 'max': 52}]",,,,,,,,,,,,,['OPTIMIZATIONGOAL_APP_DOWNLOAD'],EXCLUDED_DIMENSION_APP,,,40388,,720,,PAGE_TYPE_DEFAULT,"['SITE_SET_QQ_MUSIC_GAME', 'SITE_SET_KANDIAN', 'SITE_SET_TENCENT_NEWS', 'SITE_SET_TENCENT_VIDEO']",[],1552323463,PROMOTED_OBJECT_TYPE_APP_IOS,False,,,,,"{'image': 122060, 'description': '末日主题生存手游，试试你能闯几关', 'video': 122060, 'button_text': '下载游戏', 'title': '休闲好玩又刺激', 'brand': {'brand_name': 'N1计划', 'brand_img': 78613}}",20,2021-11-07,1338.87,12.0,0.008963,0.0833
6690,1001447,20143,1118324,0,2021-10-28 11:26:11,OPTIMIZATIONGOAL_APP_ACTIVATE,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110000001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BID_STRATEGY_AVERAGE_COST,16727,0,True,['age'],,['NOT_INSTALLED'],['MALE'],,"[{'min': 24, 'max': 50}]",,DEEP_CONVERSION_WORTH,,"{'goal': 'GOAL_1DAY_PURCHASE_ROAS', 'expected_roi': 0.018}",,,,,,,,,['OPTIMIZATIONGOAL_APP_ACTIVATE'],EXCLUDED_DIMENSION_APP,,,40032,,721,"{'override_canvas_head_option': 'OPTION_CREATIVE_OVERRIDE_CANVAS', 'page_id': 2245140961}",PAGE_TYPE_CANVAS_WECHAT,['SITE_SET_MOMENTS'],,1552323463,PROMOTED_OBJECT_TYPE_APP_IOS,False,DOWNLOAD_APP,LINK_PAGE_TYPE_DEFAULT,556803,,"{'video': 120173, 'title': '开局一辆车，拯救幸存者！', 'brand': {'brand_name': 'N1计划', 'brand_img': 78613}}",208,2021-11-02,916.43,110.0,0.120031,0.3333
6690,1001447,20143,1126729,0,2021-11-02 10:43:12,OPTIMIZATIONGOAL_APP_ACTIVATE,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110000001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BID_STRATEGY_AVERAGE_COST,13386,0,True,['age'],"['PRICE_4500_MORE', 'PRICE_3500_4500', 'PRICE_2500_3500']",,,,"[{'min': 24, 'max': 50}]",,DEEP_CONVERSION_WORTH,,"{'goal': 'GOAL_1DAY_PURCHASE_ROAS', 'expected_roi': 0.018}",,,,,,,,,,,,,40202,,1480,"{'override_canvas_head_option': 'OPTION_CREATIVE_OVERRIDE_CANVAS', 'page_id': 2245140961}",PAGE_TYPE_CANVAS_WECHAT,['SITE_SET_MOMENTS'],,1552323463,PROMOTED_OBJECT_TYPE_APP_IOS,False,DOWNLOAD_APP,LINK_PAGE_TYPE_DEFAULT,556803,,"{'short_video_struct': {'short_video1': 121047}, 'title': '闯关+逃生，没WiFi也能玩一天！', 'brand': {'brand_name': 'N1计划', 'brand_img': 78613}}","207,208",2021-11-02,1044.87,90.0,0.086135,1.0
6690,1001447,20143,1126737,0,2021-11-02 10:43:13,OPTIMIZATIONGOAL_APP_ACTIVATE,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110000001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BID_STRATEGY_AVERAGE_COST,350070,0,True,[],"['PRICE_4500_MORE', 'PRICE_3500_4500', 'PRICE_2500_3500']",,,,"[{'min': 24, 'max': 50}]",,DEEP_CONVERSION_WORTH,,"{'goal': 'GOAL_1DAY_PURCHASE_ROAS', 'expected_roi': 0.008}",[205],"[38, 162, 226, 893]","['牌类游戏', '卡牌', '避难所', '星际', '灵兽世界', '元素地牢', '石巨人', '进化', '泰坦', 'gtasa', 'rust', '迷你世界攻略']","[38, 162]",['BEHAVIOR_INTEREST_INTENSITY_ALL'],"['卡牌游戏', '图鉴', '竞技类游戏', '游戏王', '牌类游戏', '卡牌', '龙珠激斗', '奥特曼系列ol', '梁山好汉', '完美融合']",['BEHAVIOR_INTEREST_SCENE_ALL'],BEHAVIOR_INTEREST_TIME_WINDOW_THIRTY_DAY,,,,,40202,,1480,"{'override_canvas_head_option': 'OPTION_CREATIVE_OVERRIDE_CANVAS', 'page_id': 2245140961}",PAGE_TYPE_CANVAS_WECHAT,['SITE_SET_MOMENTS'],,1552323463,PROMOTED_OBJECT_TYPE_APP_IOS,False,DOWNLOAD_APP,LINK_PAGE_TYPE_DEFAULT,556803,,"{'short_video_struct': {'short_video1': 121047}, 'title': '闯关+逃生，没WiFi也能玩一天！', 'brand': {'brand_name': 'N1计划', 'brand_img': 78613}}","207,208",2021-11-02,2896.77,788.0,0.272027,0.1667
6690,1001447,20143,1128127,0,2021-11-02 16:04:07,OPTIMIZATIONGOAL_APP_ACTIVATE,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110000001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BID_STRATEGY_AVERAGE_COST,15658,0,True,['age'],"['PRICE_4500_MORE', 'PRICE_3500_4500', 'PRICE_2500_3500']",,['MALE'],,"[{'min': 24, 'max': 66}]",,DEEP_CONVERSION_WORTH,,"{'goal': 'GOAL_1DAY_PURCHASE_ROAS', 'expected_roi': 0.018}",[205],"[38, 162, 226]",,"[85, 102, 38, 162, 226]",['BEHAVIOR_INTEREST_INTENSITY_ALL'],"['豪华跑车', '迈巴赫', '保时捷', '跑车', '法拉利', '豪车', '特斯拉', '汽车资讯', '趣头条', '豪华汽车', '奔驰', '奥迪', '宝马', '沃尔沃', '凯迪拉克', '雷克萨斯', '奥迪a6l', '宝马汽车', '奥迪q5', '车型']",['BEHAVIOR_INTEREST_SCENE_ALL'],BEHAVIOR_INTEREST_TIME_WINDOW_SEVEN_DAY,,,,,40104,,721,"{'override_canvas_head_option': 'OPTION_CREATIVE_OVERRIDE_CANVAS', 'page_id': 2245140961}",PAGE_TYPE_CANVAS_WECHAT,['SITE_SET_MOMENTS'],,1552323463,PROMOTED_OBJECT_TYPE_APP_IOS,False,DOWNLOAD_APP,LINK_PAGE_TYPE_DEFAULT,556803,,"{'video': 120462, 'title': '朋友被我带入坑，玩得比我还猛！', 'brand': {'brand_name': 'N1计划', 'brand_img': 78613}}",208,2021-11-02,1344.9,110.0,0.08179,0.25
6714,1001447,21213,1116340,0,2021-10-27 16:45:13,OPTIMIZATIONGOAL_APP_ACTIVATE,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110000011111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BID_STRATEGY_AVERAGE_COST,16578,0,False,[],,['NOT_INSTALLED'],['MALE'],,"[{'min': 24, 'max': 66}]",,DEEP_CONVERSION_WORTH,,"{'goal': 'GOAL_1DAY_PURCHASE_ROAS', 'expected_roi': 0.015}",,,,,,,,,['OPTIMIZATIONGOAL_APP_ACTIVATE'],EXCLUDED_DIMENSION_APP,,,40110,,720,,PAGE_TYPE_DEFAULT,"['SITE_SET_QQ_MUSIC_GAME', 'SITE_SET_KANDIAN', 'SITE_SET_TENCENT_NEWS', 'SITE_SET_TENCENT_VIDEO', 'SITE_SET_MOBILE_UNION']",[],1552323463,PROMOTED_OBJECT_TYPE_APP_IOS,False,,,,,"{'image': 120507, 'description': '超魔性策略小游戏，试试你能闯几关', 'video': 120507, 'button_text': '立即下载', 'title': '无限游戏，休闲好玩又过瘾', 'brand': {'brand_name': 'N1计划', 'brand_img': 78613}}",20,2021-11-01,7421.25,170.0,0.022907,0.025
